lon,lat,depth_m,timestamp
1.870120,45.791260,20.40,2009-04-22T12:00:00+00:00
1.870160,45.786110,2.30,2009-04-22T12:00:00+00:00
1.870130,45.785550,7.30,2009-04-22T12:00:00+00:00
1.870140,45.777880,2.40,2009-04-22T12:00:00+00:00
1.870140,45.811410,11.00,2009-04-22T12:00:00+00:00
1.870150,45.781750,11.40,2009-04-22T12:00:00+00:00
1.870150,45.785480,6.60,2009-04-22T12:00:00+00:00
1.870150,45.810460,8.00,2009-04-22T12:00:00+00:00
1.870250,45.810420,9.50,2009-04-22T12:00:00+00:00
1.870110,45.795160,16.40,2009-04-22T12:00:00+00:00
1.870360,45.811930,9.10,2009-04-22T12:00:00+00:00
1.870250,45.778370,3.50,2009-04-22T12:00:00+00:00
1.870340,45.789770,18.60,2009-04-22T12:00:00+00:00
1.870340,45.791330,20.50,2009-04-22T12:00:00+00:00
1.870340,45.793030,20.20,2009-04-22T12:00:00+00:00
1.870350,45.805760,1.20,2009-04-22T12:00:00+00:00
1.870350,45.805780,1.50,2009-04-22T12:00:00+00:00
1.870360,45.781570,11.60,2009-04-22T12:00:00+00:00
1.870330,45.811840,9.60,2009-04-22T12:00:00+00:00
1.870360,45.805860,2.30,2009-04-22T12:00:00+00:00
1.870330,45.783300,12.10,2009-04-22T12:00:00+00:00
1.870370,45.786100,0.80,2009-04-22T12:00:00+00:00
1.870370,45.805900,4.10,2009-04-22T12:00:00+00:00
1.870380,45.778020,1.70,2009-04-22T12:00:00+00:00
1.870380,45.778250,2.20,2009-04-22T12:00:00+00:00
1.870380,45.780240,7.40,2009-04-22T12:00:00+00:00
1.870390,45.781560,10.90,2009-04-22T12:00:00+00:00
1.870390,45.798040,20.80,2009-04-22T12:00:00+00:00
1.870360,45.794370,18.10,2009-04-22T12:00:00+00:00
1.870290,45.811570,10.10,2009-04-22T12:00:00+00:00
1.870080,45.783320,12.20,2009-04-22T12:00:00+00:00
1.870260,45.781500,11.20,2009-04-22T12:00:00+00:00
1.870260,45.789710,18.90,2009-04-22T12:00:00+00:00
1.870260,45.792960,21.20,2009-04-22T12:00:00+00:00
1.870260,45.811670,10.00,2009-04-22T12:00:00+00:00
1.870270,45.786130,1.00,2009-04-22T12:00:00+00:00
